DATAFLOW,freq,hhtyp,incgrp,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IE,2013,15.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IE,2014,18.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IE,2015,16.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IE,2016,16.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IE,2017,16.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IE,2018,15.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IE,2019,15.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IS,2010,23.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IS,2011,24.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IS,2012,23.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IS,2013,22.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IS,2014,21.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IS,2015,21.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IS,2016,20.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IS,2017,21.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IS,2018,21.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IT,2010,16.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IT,2011,17.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IT,2012,16.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IT,2013,17.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IT,2014,17.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IT,2015,17.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IT,2016,17.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IT,2017,16.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IT,2018,16.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,IT,2019,16.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LT,2010,20.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LT,2011,21.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LT,2012,20.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LT,2013,19.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LT,2014,18.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LT,2015,19.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LT,2016,17.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LT,2017,16.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LT,2018,14.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LT,2019,14.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LU,2010,13.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LU,2011,13.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LU,2012,14.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LU,2013,13.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LU,2014,14.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LU,2015,14.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LU,2016,14.9,b
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LU,2017,14.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LU,2018,17.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LU,2019,17.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LV,2010,20.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LV,2011,22.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LV,2012,21.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LV,2013,21.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LV,2014,20.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LV,2015,19.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LV,2016,17.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LV,2017,17.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LV,2018,17.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,LV,2019,15.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,MT,2010,10.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,MT,2011,11.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,MT,2012,11.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,MT,2013,10.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,MT,2014,8.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,MT,2015,7.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,MT,2016,7.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,MT,2017,6.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,MT,2018,7.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,MT,2019,8.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,NL,2010,28.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,NL,2011,29.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,NL,2012,29.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,NL,2013,29.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,NL,2014,29.4,p
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,NL,2015,29.5,p
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,NL,2016,24.7,b
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,NL,2017,23.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,NL,2018,23.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,NL,2019,23.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,NO,2010,20.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,NO,2011,22.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,NO,2012,21.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,NO,2013,21.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,NO,2014,19.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,NO,2015,20.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,NO,2016,19.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,NO,2017,19.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,NO,2018,20.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,NO,2019,20.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,PL,2010,21.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,PL,2011,22.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,PL,2012,22.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,PL,2013,22.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,PL,2014,22.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,PL,2015,21.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,PL,2016,20.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,PL,2017,19.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,PL,2018,18.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,PL,2019,18.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,PT,2010,14.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,PT,2011,16.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,PT,2012,18.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,PT,2013,18.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,PT,2014,19.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,PT,2015,18.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,PT,2016,17.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,PT,2017,17.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,PT,2018,16.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,PT,2019,15.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,RO,2010,25.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,RO,2011,14.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,RO,2012,27.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,RO,2013,26.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,RO,2014,25.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,RO,2015,25.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,RO,2016,23.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,RO,2017,22.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,RO,2018,20.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,RO,2019,18.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SE,2010,22.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SE,2011,23.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SE,2012,23.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SE,2013,23.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SE,2014,22.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SE,2015,22.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SE,2016,22.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SE,2017,21.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SE,2018,21.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SE,2019,22.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SI,2010,15.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SI,2011,15.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SI,2012,16.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SI,2013,16.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SI,2014,17.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SI,2015,16.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SI,2016,16.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SI,2017,15.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SI,2018,15.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SI,2019,14.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SK,2010,20.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SK,2011,20.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SK,2012,19.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SK,2013,20.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SK,2014,20.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SK,2015,21.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SK,2016,20.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SK,2017,20.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SK,2018,17.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,SK,2019,17.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,UK,2010,28.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,UK,2011,28.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,UK,2012,19.8,b
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,UK,2013,20.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,UK,2014,25.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,UK,2015,24.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,UK,2016,24.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,UK,2017,24.8,b
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,UK,2018,25.1,
